"AppName","ResourceGroup","Location","DefaultHost","PublicIP"
"aichat-devtest-app-qi3jt","EIS-DEVTEST-INT-EAST-AICHATBOT-RG","USGov Virginia","aichat-devtest-app-qi3jt.azurewebsites.us","52.235.253.102"
"veisdevopsai-dev-portal","EIS-DEVTEST-INT-SOUTHWEST-DEVOPSAI-RG","USGov Arizona","veisdevopsai-dev-portal.azurewebsites.us","20.140.49.129"
"veisdevopsai-dev-func","EIS-DEVTEST-INT-SOUTHWEST-DEVOPSAI-RG","USGov Arizona","veisdevopsai-dev-func.azurewebsites.us","20.140.49.129"
"va-eis-dpass-umt-dev","EIS-DEVTEST-INT-SOUTHWEST-DPASS-RG","USGov Arizona","va-eis-dpass-umt-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-dpass-umt-la-dev","EIS-DEVTEST-INT-SOUTHWEST-DPASS-RG","USGov Arizona","va-eis-dpass-umt-la-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"WISERECRETR","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","wiserecretr.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"fcmt-la","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","fcmt-la.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"copy-app-svc-test","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","copy-app-svc-test.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"rctestapp","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","rctestapp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"fmcsvc-mules-dev-veis","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","fmcsvc-mules-dev-veis.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-health-check","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","va-veis-health-check.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-health-check-dev","EIS-DEVTEST-INT-SOUTHWEST-EIS-RG","USGov Arizona","va-veis-health-check-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ccpc-dev-veis","EIS-DEVTEST-INT-SOUTHWEST-HAFEEZ-RG","USGov Arizona","ccpc-dev-veis.azurewebsites.us","52.127.2.96"
"logic-app-poc","EIS-DEVTEST-INT-SOUTHWEST-LOGICAPP-RG","USGov Arizona","logic-app-poc.azurewebsites.us","52.127.2.97"
"poc-logicapps","EIS-DEVTEST-INT-SOUTHWEST-LOGICAPP-RG","USGov Arizona","poc-logicapps.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-btsss-appt-lob-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-btsss-appt-lob-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-btsss-vetridelob-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-btsss-vetridelob-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-fhirinterface-mil-dev-sw","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-fhirinterface-mil-dev-sw.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-appreg-expirationV3","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-appreg-expirationv3.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-sherpa-functions","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-sherpa-functions.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"bingmapsdistancesvc-dev-btsss-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","bingmapsdistancesvc-dev-btsss-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"caregiverlob-devtest-btsss-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","caregiverlob-devtest-btsss-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-sherpa-provision-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-sherpa-provision-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"integration-int-vass-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","integration-int-vass-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-afpclaimfunc-btsss-dev-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-afpclaimfunc-btsss-dev-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"crmrecordsvc-devtest-btsss-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","crmrecordsvc-devtest-btsss-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"travelclaimapi-dev-btsss","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","travelclaimapi-dev-btsss.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-sfpclaimfunc-btsss-dev-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-sfpclaimfunc-btsss-dev-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"portal-sso-demo","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","portal-sso-demo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"BTSSSLoadVeteranProfile-Dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","btsssloadveteranprofile-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"claimingestsvc-devtest-btsss-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","claimingestsvc-devtest-btsss-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ehrmappmtlob-devtest-btsss-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","ehrmappmtlob-devtest-btsss-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-usermgmfunc-patsr-dev-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-usermgmfunc-patsr-dev-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-vaprofile-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-vaprofile-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"integration-dev-vass-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","integration-dev-vass-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"rulesenginesvc-dev-btsss-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","rulesenginesvc-dev-btsss-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-sherpa-remove-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-sherpa-remove-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"AzureDevOpsIntegration","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","azuredevopsintegration.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-claiming-claimrq-bt3s-dev-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-claiming-claimrq-bt3s-dev-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"denialslob-dev-lob","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","denialslob-dev-lob.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ebenefitsbnftclaimstatusservice-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","ebenefitsbnftclaimstatusservice-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-oawp-dev-east","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-oawp-dev-east.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-veis-appreg-expirationV2","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-veis-appreg-expirationv2.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-vcap-integration-dev","EIS-DEVTEST-INT-SOUTHWEST-NONVRM-RG","USGov Arizona","va-eis-vcap-integration-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-chatbot-dev-signin-support-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-chatbot-dev-signin-support-bot.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-chatbot-dev-claims-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-chatbot-dev-claims-bot.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-chatbot-dev-healthassistant-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-chatbot-dev-healthassistant-bot.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-chatbot-dev-root-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-chatbot-dev-root-bot.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-chatbot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-chatbot.azurewebsites.us","20.140.49.129"
"va-dev-root-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-dev-root-bot.azurewebsites.us","20.140.49.129"
"va-veis-dev-GrafanaSample","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-veis-dev-grafanasample.azurewebsites.us","20.140.49.129"
"va-dev-claims-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-dev-claims-bot.azurewebsites.us","20.140.49.129"
"va-dev-signin-support-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-dev-signin-support-bot.azurewebsites.us","20.140.49.129"
"va-vha-dev-healthassistant-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-vha-dev-healthassistant-bot.azurewebsites.us","20.140.49.129"
"va-staging-root-bot","EIS-DEVTEST-INT-SOUTHWEST-OMNI-RG","USGov Arizona","va-staging-root-bot.azurewebsites.us","20.140.49.129"
"va-eis-slack-notif-dev","EIS-DEVTEST-INT-SOUTHWEST-SLACKNOTIFICATION-RG","USGov Arizona","va-eis-slack-notif-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inb-resphandler-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inb-resphandler-dev.azurewebsites.us","52.127.2.97"
"va-eis-tmp-appointment-retry-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-appointment-retry-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"mvi-lob-dev3-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","mvi-lob-dev3-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ihs-lob-dev3-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","ihs-lob-dev3-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ihs-ec-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","ihs-ec-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-get-users","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-get-users.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ihs-lob-dev-cerner-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","ihs-lob-dev-cerner-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"telehealthspecialtylocation-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","telehealthspecialtylocation-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ihs-ec-dev-cerner-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","ihs-ec-dev-cerner-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"mvi-lob-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","mvi-lob-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-tslapi-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-tslapi-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vvs-ec-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","vvs-ec-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vvs-lob-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","vvs-lob-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-vaprofilelob-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-vaprofilelob-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"cernerlob-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","cernerlob-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"jwt-ec-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","jwt-ec-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ihs-lob-dev-urs-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","ihs-lob-dev-urs-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-remove-users","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-remove-users.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ihs-lob-dev-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","ihs-lob-dev-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vvs-lob-dev3-tmp","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","vvs-lob-dev3-tmp.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-outboundtransactionmonitor-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-outboundtransactionmonitor-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-splunk-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-splunk-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-in-resphandler-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-in-resphandler-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-outboundunittests-scheduler-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-outboundunittests-scheduler-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-proc-S24-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-proc-s24-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-worker-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-worker-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-in-SvcApptConf-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-in-svcapptconf-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-deadlettersender-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-deadlettersender-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-proc-S15-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-proc-s15-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-healthconnectsiteupdater-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-healthconnectsiteupdater-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-bulkdelete-reserve-resources-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-bulkdelete-reserve-resources-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-proc-S13-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-proc-s13-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-proc-S12-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-proc-s12-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-workedrc-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-workedrc-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-out-resphandler-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-out-resphandler-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-proc-S23-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-proc-s23-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-outresponsehandler-unittest-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-outresponsehandler-unittest-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-orchestrator-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-orchestrator-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-outbounddataprevalidator-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-outbounddataprevalidator-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-DataLakeAPIWrapper-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-datalakeapiwrapper-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-outbound-worker-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-outbound-worker-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-outbound-orchestrator-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-outbound-orchestrator-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-OAuthAuthent-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-oauthauthent-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-inbound-FHIRUpload-dev","EIS-DEVTEST-INT-SOUTHWEST-TMP-RG","USGov Arizona","va-eis-tmp-inbound-fhirupload-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-tmp-DataLakeAPIWrapper-dev-TEST","EIS-DEVTEST-INT-SOUTHWEST-TMP-TEST-RG","USGov Arizona","va-eis-tmp-datalakeapiwrapper-dev-test.azurewebsites.us","52.127.2.97"
"func-vanotify-jwt-devtest","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","func-vanotify-jwt-devtest.azurewebsites.us","20.140.49.129"
"schedulejoblob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","schedulejoblob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"contactlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","contactlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"egainlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","egainlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"paymentslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","paymentslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"claimslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","claimslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"usertoollob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","usertoollob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"noteslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","noteslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"redirectlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","redirectlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vbmslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","vbmslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"personsearchlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","personsearchlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"claimdocumentslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","claimdocumentslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"mvilob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","mvilob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"claimestablishmentlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","claimestablishmentlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"militaryservicelob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","militaryservicelob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"examappointmentslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","examappointmentslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ratingslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","ratingslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"appealslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","appealslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"dependentmaintenancesvc-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","dependentmaintenancesvc-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"denialslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","denialslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vbmsefolderwebservicelob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","vbmsefolderwebservicelob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"servicerequestlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","servicerequestlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"peoplelistpayeecodelob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","peoplelistpayeecodelob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"ssrslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","ssrslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"intenttofilelob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","intenttofilelob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"dependentmaintenancelob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","dependentmaintenancelob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"legacypaymentslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","legacypaymentslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"veteransnapshotlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","veteransnapshotlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-vass-schedulerlob-dev","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","va-eis-vass-schedulerlob-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"idprooforchestrationlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","idprooforchestrationlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"flasheslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","flasheslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"fnodlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","fnodlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"addresslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","addresslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"letterslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","letterslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"birlslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","birlslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"va-eis-udo-vanotify-dev","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","va-eis-udo-vanotify-dev.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vbmsefolderlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","vbmsefolderlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"vbmssvc-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","vbmssvc-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"awardslob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","awardslob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"debtinformationlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","debtinformationlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
"caddlob-dev-udo","EIS-DEVTEST-INT-SOUTHWEST-UDO-RG","USGov Arizona","caddlob-dev-udo.eisdevintswase.appserviceenvironment.us","10.245.4.68"
